month,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,103.85,100.96,100.62,100.31,101.01,100.4,100.67,100.99,100.84,100.86,101.23
2,102.22,100.63,100.22,100.21,100.44,100.33,100.78,101.17,100.46,100.68,100.81
3,101.21,100.46,100.13,100.29,100.32,100.55,100.66,107.61,100.37,100.39,100.65
4,100.46,100.44,100.33,100.38,100.29,100.83,100.58,101.56,100.38,100.5,100.4
5,100.35,100.41,100.37,100.38,100.34,100.27,100.74,100.12,100.31,100.74,100.43
6,100.19,100.36,100.61,100.49,100.04,100.22,100.69,99.65,100.37,100.64,100.2
7,100.8,100.54,100.07,100.27,100.2,100.35,100.31,99.61,100.63,101.14,100.57
8,100.35,100.01,99.46,100.01,99.76,99.96,100.17,99.48,100.28,100.2,99.6
9,100.57,100.17,99.85,100.16,99.84,99.93,100.6,100.05,100.87,100.48,100.34
10,100.74,100.43,100.2,100.35,100.13,100.43,101.11,100.18,100.83,100.75,
11,100.75,100.44,100.22,100.5,100.28,100.71,100.96,100.37,101.11,101.43,
12,100.77,100.4,100.42,100.84,100.36,100.83,100.82,100.78,100.73,101.32,
